Rule ID,1.0,1.1,1.2,1.3,1.0 | 1.1 | 1.2 | 1.3,Status,CORE-ID
859,,,,1.3,,DRAFT,
860,,,,1.3,,DRAFT,
861,,,,1.3,,DRAFT,
862,,,,1.3,,DRAFT,
863,,,,1.3,,DRAFT,
864,,,,1.3,,DRAFT,
865,,,,1.3,,DRAFT,
866,,,,1.3,,DRAFT,
867,,,,1.3,,DRAFT,
868,,,,1.3,,DRAFT,
869,,,,1.3,,DRAFT,
870,,,,1.3,,DRAFT,
871,,,,1.3,,DRAFT,
872,,,,1.3,,DRAFT,
873,,,,1.3,,DRAFT,
874,,,,1.3,,DRAFT,
875,,,,1.3,,DRAFT,
876,,,,1.3,,DRAFT,
877,,,,1.3,,DRAFT,
878,,,,1.3,,DRAFT,
879,,,,1.3,,DRAFT,
895,1.0,1.1,1.2,1.3,,DRAFT,
