FB1603,1.0,1.1,1.2,3.0,3.1,3.1.1,3.2,3.3,3.4,PUBLISHED,CORE-000529
FB1701,1.0,1.1,1.2,3.0,3.1,3.1.1,3.2,3.3,3.4,DRAFT,
FB1801,1.0,1.1,1.2,3.0,3.1,3.1.1,3.2,3.3,3.4,DRAFT,
FB1901,1.0,1.1,1.2,3.0,3.1,3.1.1,3.2,3.3,3.4,DRAFT,
FB2201,,,,,,,3.2,3.3,3.4,PUBLISHED,CORE-000701
FB2301,,,,,,,3.2,,,PUBLISHED,CORE-000887
FB2302,,,,,,,,3.3,3.4,PUBLISHED,CORE-000885
FB2303,,,,,,,3.2,,,DRAFT,
FB2304,,,,,,,,3.3,3.4,PUBLISHED,CORE-000927
FB2305,,,,,,,3.2,,,PUBLISHED,CORE-001064
FB2306,,,,,,,,3.3,3.4,PUBLISHED,CORE-000886
FB2401,1.0,1.1,1.2,3.0,3.1,3.1.1,3.2,3.3,3.4,PUBLISHED,CORE-000765
FB2501,,,,,,,3.2,3.3,3.4,PUBLISHED,CORE-000655
FB2502,,,,,,,3.2,3.3,3.4,PUBLISHED,CORE-000656
FB2503,,,,,,,3.2,,,DRAFT,
FB2504,,,,,,,,3.3,3.4,DRAFT,
FB2505,,,,,,,3.2,,,PUBLISHED,CORE-000790
FB2601,1.0,1.1,1.2,3.0,3.1,3.1.1,3.2,3.3,3.4,PUBLISHED,CORE-000643
FB2602,,,,,,,,3.3,3.4,PUBLISHED,CORE-000105
FB2603,1.0,1.1,1.2,3.0,3.1,3.1.1,3.2,3.3,3.4,PUBLISHED,CORE-000914
FB2604,,,,,,,,3.3,3.4,PUBLISHED,CORE-000915
FB3001,1.0,1.1,1.2,3.0,3.1,3.1.1,3.2,3.3,3.4,PUBLISHED,CORE-000699
FB3101,1.0,1.1,1.2,3.0,3.1,3.1.1,3.2,3.3,3.4,PUBLISHED,CORE-000863
FB3102,1.0,1.1,1.2,3.0,3.1,3.1.1,3.2,3.3,3.4,PUBLISHED,CORE-000542
FB3103,1.0,1.1,1.2,3.0,3.1,3.1.1,3.2,3.3,3.4,PUBLISHED,CORE-000732
FB3201,1.0,1.1,1.2,3.0,3.1,3.1.1,3.2,3.3,3.4,PUBLISHED,CORE-000321
